"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT4G04540",460.339526892336,-2.83632276464753,0.344677309350015,-8.22892220551507,1.88905407221373e-16,2.83192818600741e-14
"AT5G58350",13472.9723771829,-1.83464450951722,0.223190093356747,-8.22009831137406,2.03336426758517e-16,3.02933387095018e-14
"AT3G48890",6735.12386084948,-1.55229956721781,0.189019910639796,-8.21236007341013,2.16882733001581e-16,3.21120323072587e-14
"AT1G28370",457.419342883525,-2.03469500789902,0.247815519094672,-8.2105229540597,2.20227199843595e-16,3.24071755548986e-14
"AT1G66370",278.834932642483,-5.60344341346453,0.683025887542708,-8.20385217553582,2.3280433866973e-16,3.40490540690984e-14
"AT4G08770",8613.47582944441,-3.64261328860369,0.444634787540209,-8.19237133638419,2.56128970015247e-16,3.72333907562771e-14
"AT5G65280",532.559247076095,-2.14906985581143,0.262428496495662,-8.18916346551167,2.63048068664017e-16,3.80088612950308e-14
"AT5G53750",1114.13584435218,-2.18195290336965,0.266645559374571,-8.18297108898989,2.76929620007679e-16,3.97750530868515e-14
"AT4G01680",215.407104100387,1.24277868252731,0.151946203167277,8.17907033293317,2.86042121846317e-16,4.08393234202724e-14
"AT4G08170",1047.45474448661,-1.05965095304162,0.129628143782891,-8.17454390781361,2.96987161947747e-16,4.21510891507613e-14
"AT1G20190",131.737179285824,4.08571927265446,0.49988681464415,8.17328873849757,3.00094622376326e-16,4.2341585954815e-14
"AT2G36380",20599.6571846514,-1.5589806091644,0.190915759839424,-8.16580365327426,3.19302267567967e-16,4.47882116367559e-14
"AT2G43590",9902.32086236198,-2.41006120487153,0.295283458689631,-8.16185646011657,3.29914122811812e-16,4.60076752893263e-14
"AT3G19850",450.611704057959,1.71636980708244,0.210606560637077,8.149650238295,3.64978341207049e-16,5.06032976427299e-14
"AT4G15280",509.809498371091,-3.38872332333486,0.416093842491306,-8.14413235015768,3.8201119911445e-16,5.2660463344593e-14
"AT5G44480",1841.1249077234,-2.8854001241729,0.35491816318575,-8.12976179712391,4.30134834192287e-16,5.8955509331064e-14
"AT1G80820",1086.419370323,-2.99385504145441,0.368701316051052,-8.12000096316409,4.66179981271382e-16,6.35329149475874e-14
"AT1G29660",2177.33415425225,3.41531787900941,0.420878764010146,8.11473082288152,4.86862784613311e-16,6.59647403373226e-14
"AT5G28237",871.93957704225,-5.47764921981969,0.675080450999436,-8.11406879240866,4.89524046528951e-16,6.59647403373226e-14
"AT5G48430",768.750168663763,-2.94861952764108,0.363581769411362,-8.10992127689703,5.06525677042798e-16,6.78744407237349e-14
"AT5G24230",317.423338081358,-1.73693663908418,0.214220548420228,-8.10817007002006,5.13877789227212e-16,6.84770702911328e-14
"AT3G55150",65.0764257867075,-2.97872428738628,0.367445592955181,-8.10657235927063,5.20677157753268e-16,6.8620672010274e-14
"AT2G18750",3749.43625097512,-0.900069858792754,0.11102150718521,-8.10716663476049,5.18137810161671e-16,6.8620672010274e-14
"AT3G10985",12766.8046296356,-2.26487767053474,0.279480513096426,-8.1038840434407,5.32318437003461e-16,6.94866664359956e-14
"AT4G16260",25719.9651377541,-3.68934932573281,0.455266204390296,-8.10371885757186,5.3304205053878e-16,6.94866664359956e-14
"AT3G52720",548.91239471745,2.81261661664348,0.347893329696564,8.08470981348413,6.23123856138759e-16,8.07905341261853e-14
"AT4G38860",642.818184287294,2.94001529192368,0.363781985949022,8.08180560192906,6.38147752322526e-16,8.22936128344522e-14
